index,name,demangled_name,version,address,size,type,binding,visibility,section,defined
38,_ZN10zfJa3aJGDhC2EP10V8fxgahcBwRK10eY2wgaf6pwRK10i7FHgaP2lFRK10C8THgaTQxF,"zfJa3aJGDh::zfJa3aJGDh(V8fxgahcBw*, eY2wgaf6pw const&, i7FHgaP2lF const&, C8THgaTQxF const&)",,0x11a398,156,FUNC,GLOBAL,DEFAULT,9,True
39,_ZN10W6NzgawMJy10iR4BLawHEFERK10C8THgaTQxFiiiP10vuuHgangcF,"W6NzgawMJy::iR4BLawHEF(C8THgaTQxF const&, int, int, int, vuuHgangcF*)",,0x1802e8,892,FUNC,GLOBAL,DEFAULT,9,True
40,_ZN10TZf6gaQ3S_10edf6gaIpS_Ei,TZf6gaQ3S_::edf6gaIpS_(int),,0x110378,96,FUNC,GLOBAL,DEFAULT,9,True
41,_ZN10W6NzgawMJy10X3j4La6uf3E,W6NzgawMJy::X3j4La6uf3,,0x38e52c,4,OBJECT,GLOBAL,DEFAULT,18,True
42,memcpy@LIBC (2),memcpy,LIBC (2),0x0,0,FUNC,GLOBAL,DEFAULT,UND,False
43,SdBLlblWEV,SdBLlblWEV,,0x3a2e28,8,OBJECT,GLOBAL,DEFAULT,19,True
44,jpeg_destroy,jpeg_destroy,,0x2a9aa4,48,FUNC,GLOBAL,DEFAULT,9,True
45,getsockname@LIBC (2),getsockname,LIBC (2),0x0,0,FUNC,GLOBAL,DEFAULT,UND,False
46,_ZN10gqiNgaG64J10ngWMganDMJERK10C8THgaTQxF,gqiNgaG64J::ngWMganDMJ(C8THgaTQxF const&),,0xe4150,8,FUNC,WEAK,DEFAULT,9,True
47,_ZN10LJyzga9Pwy10QF9dxaSKwzEi,LJyzga9Pwy::QF9dxaSKwz(int),,0x10ab64,8,FUNC,WEAK,DEFAULT,9,True
48,_ZN6CyaInt15SendCertificateEPNS_6CYASSLE,CyaInt::SendCertificate(CyaInt::CYASSL*),,0x2d7320,436,FUNC,GLOBAL,DEFAULT,9,True
49,_ZN10w9XxgaJdbx10oDVIFaK5oIEf,w9XxgaJdbx::oDVIFaK5oI(float),,0x1bead0,64,FUNC,GLOBAL,DEFAULT,9,True
50,_ZN20NgNBgaN3oAPropertiesD2Ev,NgNBgaN3oAProperties::~NgNBgaN3oAProperties(),,0x2373d4,28,FUNC,WEAK,DEFAULT,9,True
51,_ZN10MpGzgariDy10KRDtwaS8xWEi,MpGzgariDy::KRDtwaS8xW(int),,0x18ea24,8,FUNC,WEAK,DEFAULT,9,True
52,_Z20s_YwgafWlwE7Bm2aaHDBRK10C8THgaTQxF,s_YwgafWlwE7Bm2aaHDB(C8THgaTQxF const&),,0x1db150,48,FUNC,GLOBAL,DEFAULT,9,True
53,FT_Get_Track_Kerning,FT_Get_Track_Kerning,,0x25a4d4,192,FUNC,GLOBAL,DEFAULT,9,True
54,_ZN10vuuHgangcFC2ERK10C8THgaTQxFb,"vuuHgangcF::vuuHgangcF(C8THgaTQxF const&, bool)",,0xf744c,56,FUNC,GLOBAL,DEFAULT,9,True
55,_ZN10V8fxgahcBwC2ERK10C8THgaTQxF,V8fxgahcBw::V8fxgahcBw(C8THgaTQxF const&),,0x11a64c,104,FUNC,GLOBAL,DEFAULT,9,True
56,_ZN10EqV_Ka3Vx9C1ERK10C8THgaTQxF,EqV_Ka3Vx9::EqV_Ka3Vx9(C8THgaTQxF const&),,0x1b23dc,60,FUNC,GLOBAL,DEFAULT,9,True
57,_ZN20AICTfaebpZPropertiesC1Ev,AICTfaebpZProperties::AICTfaebpZProperties(),,0x21b404,140,FUNC,GLOBAL,DEFAULT,9,True
58,_ZN10PfQXva4zXuIsED1Ev,PfQXva4zXu<short>::~PfQXva4zXu(),,0x1afce0,20,FUNC,WEAK,DEFAULT,9,True
59,_ZN10X7DzgannBy10zmjt_aCUgaEv,X7DzgannBy::zmjt_aCUga(),,0x1966e4,200,FUNC,GLOBAL,DEFAULT,9,True
60,_ZN10W6NzgawMJy10bzl1LagLK0Ev,W6NzgawMJy::bzl1LagLK0(),,0x17f544,80,FUNC,WEAK,DEFAULT,9,True
61,_ZN10ZwL1xarB5eD0Ev,ZwL1xarB5e::~ZwL1xarB5e(),,0x1e7d0c,48,FUNC,WEAK,DEFAULT,9,True
62,_ZN10W6NzgawMJy10LtSTwaHrChEv,W6NzgawMJy::LtSTwaHrCh(),,0x177088,360,FUNC,GLOBAL,DEFAULT,9,True
63,tt_cmap0_class_rec1,tt_cmap0_class_rec1,,0x37ff30,104,OBJECT,GLOBAL,DEFAULT,15,True
64,_ZN10mTAogaaEip8setStateEP10yVOJMa8r9B,mTAogaaEip::setState(yVOJMa8r9B*),,0x227a1c,612,FUNC,GLOBAL,DEFAULT,9,True
65,_ZN10zF9VgaBKxR10MAEygaHLLxEv,zF9VgaBKxR::MAEygaHLLx(),,0x1a6734,124,FUNC,GLOBAL,DEFAULT,9,True
66,unzOpenCurrentFilePassword2,unzOpenCurrentFilePassword2,,0x258f10,20,FUNC,GLOBAL,DEFAULT,9,True
67,_ZN10DFeOfaFXSU10u6glKaa0vBEP10TZf6gaQ3S_PKhiiiiii,"DFeOfaFXSU::u6glKaa0vB(TZf6gaQ3S_*, unsigned char const*, int, int, int, int, int, int)",,0x10f988,716,FUNC,GLOBAL,DEFAULT,9,True
68,_ZTV10m9DfJatoMG,vtable for m9DfJatoMG,,0x371f30,96,OBJECT,WEAK,DEFAULT,15,True
69,_ZN10w6qzgacqqy10OC8FxajS3WE,w6qzgacqqy::OC8FxajS3W,,0x3a3730,8,OBJECT,GLOBAL,DEFAULT,19,True
70,_ZTV20XCASBayqxtProperties,vtable for XCASBayqxtProperties,,0x3762e0,88,OBJECT,WEAK,DEFAULT,15,True
71,_ZN10OV5NOaoBLl10nn9ogamvMpEi,OV5NOaoBLl::nn9ogamvMp(int),,0x22caf0,64,FUNC,WEAK,DEFAULT,9,True
72,_ZN10MpGzgariDy10MP0FfajjYNEP10W6NzgawMJy,MpGzgariDy::MP0FfajjYN(W6NzgawMJy*),,0x19555c,220,FUNC,GLOBAL,DEFAULT,9,True
73,_ZN10CanTfaz6bZ10y_WHgaffAFEv,CanTfaz6bZ::y_WHgaffAF(),,0xf9264,116,FUNC,GLOBAL,DEFAULT,9,True
74,_ZN10f6WHgaQkAF10emuwgan9WvE,f6WHgaQkAF::emuwgan9Wv,,0x3a0158,8,OBJECT,GLOBAL,DEFAULT,19,True
75,_ZN10w6qzgacqqy10kr8GxaAIUXE,w6qzgacqqy::kr8GxaAIUX,,0x3a3b80,1024,OBJECT,GLOBAL,DEFAULT,19,True
76,_ZN20EYKlVaL7URPropertiesC1Ev,EYKlVaL7URProperties::EYKlVaL7URProperties(),,0x1dfd44,156,FUNC,GLOBAL,DEFAULT,9,True
77,_ZN10N67CMatrxw10KFUqMaMhfmERK10C8THgaTQxF,N67CMatrxw::KFUqMaMhfm(C8THgaTQxF const&),,0x231120,96,FUNC,GLOBAL,DEFAULT,9,True
