2.2_name,2.2_address,size,byte_sha256,family,1.8_ida_name,1.8_raw_symbol,1.8_demangled_symbol,1.8_address,address_delta_2.2_minus_1.8,1.8_name_origin,1.8_source_kind
_ZNK10tJIwIaYe8310rTcNFals0LEPfS0_,0x23d294,260,95ef3d8a938cee54452aca12e7b26b1b77b8553aaf6c1b2810b6dd666dbf2124,other,TParticleDataEx_getPolyMinMaxY_float_float,_ZNK15TParticleDataEx14getPolyMinMaxYEPfS0_,"TParticleDataEx::getPolyMinMaxY(float *,float *)",0x23351c,0x9d78,elf_symbol,function
_ZNK10tJIwIaYe8310tWnLFaUKtKEv,0x23c900,20,381058433038bb6f88ced1d1351af7a604dd24575d5255e01e742970972f42e7,other,TParticleDataEx_getPartHeightInTiles_void,_ZNK15TParticleDataEx20getPartHeightInTilesEv,TParticleDataEx::getPartHeightInTiles(void),0x232b50,0x9db0,elf_symbol,function
_ZNK10tJIwIaYe8310vcSNFa8czMEv,0x23cf58,24,3f4c4c6150c61b3158a6e57ddb8cb17fbdc337d94fa521944280feae30019367,other,TParticleDataEx_getPlayerLook_void,_ZNK15TParticleDataEx13getPlayerLookEv,TParticleDataEx::getPlayerLook(void),0x233190,0x9dc8,elf_symbol,function
_ZNK10u3cBgayBVz10nq1pgaTOvqEv,0x20c404,20,3a1eadd95ebd54f113d50b07e23d1b7e2082c278de9e333a6980ea31108fc4e9,other,TSocketConnection_hasError_void,_ZNK17TSocketConnection8hasErrorEv,TSocketConnection::hasError(void),0x2062b8,0x614c,elf_symbol,function
_ZNK10u3cBgayBVz10qYcf1arwpFEv,0x20c47c,8,2f3b6f6686fd51e88030785bd4646403cb57ac71a5cbf077e500a85bdf0afab3,other,TSocketConnection_getIPNum_void,_ZNK17TSocketConnection8getIPNumEv,TSocketConnection::getIPNum(void),0x206330,0x614c,elf_symbol,function
_ZNK10vuuHgangcF10Nw0HMaf3DAEv,0xf6b54,96,53ff9d96af6761877ba868714c56bab40bedce126c989f45f6a39f9fca38bc1d,other,TStringList_getRequiredFileSize_void,_ZNK11TStringList19getRequiredFileSizeEv,TStringList::getRequiredFileSize(void),0xf5354,0x1800,elf_symbol,function
_ZNK10vy1JgaKVkH10JtTLgaLhUIEPKv,0xed9e4,80,c6d31509528cd37ccb7b79771ac143d28d4c12b7459689c8b044d97c7f0f162e,other,TList_indexOf_void_const,_ZNK5TList7indexOfEPKv,TList::indexOf(void const*),0xeca14,0xfd0,elf_symbol,function
_ZNK10w9XxgaJdbx10H7iLgadIpIEv,0x1b0940,48,36fd72baa6bbc4c1fc72242469b162f7e4344cb747b5683548ebb43f2624f931,other,GuiControl_getRoot_void,_ZNK10GuiControl7getRootEv,GuiControl::getRoot(void),0x1ac780,0x41c0,elf_symbol,function
_ZNK10w9XxgaJdbx10StGcIaOlhOERK10qdSBga_dtAb,0x1b931c,168,ac906c99bc1cc35c7e2ffbc4090e73ed4a19cd2f88f82f07670ef9c025180459,other,GuiControl_globalToLocalCoord_TFloatPoint_const_bool,_ZNK10GuiControl18globalToLocalCoordERK11TFloatPointb,"GuiControl::globalToLocalCoord(TFloatPoint const&,bool)",0x1b4c50,0x46cc,elf_symbol,function
_ZNK10w9XxgaJdbx10sryA1aIAmXEv,0x1b0970,48,ab6b71358c5ad997408a3f5212fba731bd05d55cd84ed4e5fe17b93234839d6a,other,GuiControl_getExternalWindow_void,_ZNK10GuiControl17getExternalWindowEv,GuiControl::getExternalWindow(void),0x1ac7b0,0x41c0,elf_symbol,function
